"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_MT_Agua.Boa.866860_INMET","MT","Agua Boa",23551,6,24.94936073,0,5456.5,431.2
"BRA_MT_Alto.Taquari.867500_INMET","MT","Alto Taquari",9674,6,22.33688356,17.4,4503,93.8
"BRA_MT_Apiacas.819760_INMET","MT","Apiacas",9400,8,25.6527968,0,5713.3,620.1
"BRA_MT_Campo.Novo.do.Parecis.866620_INMET","MT","Campo Novo do Parecis",31985,5,24.08106164,9.8,5139.6,257.7
"BRA_MT_Campo.Verde.867070_INMET","MT","Campo Verde",37989,6,23.03643836,18.9,4758.3,157.9
"BRA_MT_Carlinda.819780_INMET","MT","Carlinda",10364,8,25.495879,0,5656,577.9
"BRA_MT_Comodoro.866610_INMET","MT","Comodoro",19536,5,22.42945205,27.6,4536.8,33.8
"BRA_MT_Confresa.866060_INMET","MT","Confresa",28339,7,26.1360274,0,5889.7,785.6
"BRA_MT_Cotriguacu.829270_INMET","MT","Cotriguacu",17716,8,24.623379,0,5337.5,308.8
"BRA_MT_Cuiaba.867050_INMET","MT","Cuiaba",580489,7,26.26649543,13.7,5937.3,1002.5
"BRA_MT_Gaucha.do.Norte.866660_INMET","MT","Gaucha do Norte",7036,6,25.2183105,0,5554.7,488
"BRA_MT_Guaranta.do.Norte.819790_INMET","MT","Guaranta do Norte",33929,8,25.04244292,0,5490.5,415.3
"BRA_MT_Guiratinga.867290_INMET","MT","Guiratinga",14496,6,24.69503425,1.4,5363.7,450.7
"BRA_MT_Itiquira.867480_INMET","MT","Itiquira",12472,6,24.02300228,35,5118.4,352.6
"BRA_MT_Juara.866250_INMET","MT","Juara",33610,8,25.8822032,4.5,5797,751.1
"BRA_MT_Juina.866240_INMET","MT","Juina",39688,8,24.84584475,1.1,5418.7,380.4
"BRA_MT_Nova.Maringa.866630_INMET","MT","Nova Maringa",7764,5,26.33195205,2.1,5961.2,916.5
"BRA_MT_Novo.Mundo.866430_INMET","MT","Novo Mundo",8364,8,24.77228311,0.2,5391.9,426.7
"BRA_MT_Paranatinga.866840_INMET","MT","Paranatinga",21014,6,24.45489726,0,5276,345
