ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
14172,vrf,9.9,adiabatic,2.5,0.7,0,sem,34459.3
14172,split,9.9,adiabatic,2.5,0.3,0,com,48248.34
14172,split,23.6,outdoors,2.5,0.3,180,com,74869.6
14172,split,23.6,outdoors,2.5,0.3,180,sem,76109.74
14172,split,23.6,outdoors,2.5,0.3,270,com,74734.25
14172,split,23.6,outdoors,2.5,0.3,270,sem,75780.63
14172,split,23.6,outdoors,2.5,0.7,0,com,74894.77
14172,split,23.6,outdoors,2.5,0.7,0,sem,76089.36
14172,split,23.6,outdoors,2.5,0.7,90,com,75038.14
14172,split,23.6,outdoors,2.5,0.7,90,sem,75966.47
14172,split,23.6,outdoors,2.5,0.7,180,com,76492.66
14172,split,23.6,outdoors,2.5,0.7,180,sem,77695.53
14172,split,9.9,adiabatic,2.5,0.7,90,com,47643.29
14172,split,23.6,outdoors,2.5,0.7,270,com,76130.89
14172,split,23.6,outdoors,2.5,0.7,270,sem,77020.12
14172,split,23.6,outdoors,3.7,0.3,0,com,74123.75
14172,split,23.6,outdoors,3.7,0.3,0,sem,75339.08
14172,split,23.6,outdoors,3.7,0.3,90,com,74050.3
14172,split,23.6,outdoors,3.7,0.3,90,sem,75051.91
14172,split,23.6,outdoors,3.7,0.3,180,com,74963.39
14172,split,23.6,outdoors,3.7,0.3,180,sem,76212.51
14172,split,23.6,outdoors,3.7,0.3,270,com,74887.92
14172,split,23.6,outdoors,3.7,0.3,270,sem,75862
14172,split,9.9,adiabatic,2.5,0.7,90,sem,46555.05
14172,split,23.6,outdoors,3.7,0.7,0,com,75185.51
14172,split,23.6,outdoors,3.7,0.7,0,sem,76377.56
14172,split,23.6,outdoors,3.7,0.7,90,com,75193.25
14172,split,23.6,outdoors,3.7,0.7,90,sem,76143.3
14172,split,23.6,outdoors,3.7,0.7,180,com,76645.22
14172,split,23.6,outdoors,3.7,0.7,180,sem,77869.43
